구매id,리뷰날짜,구매옵션,리뷰내용,리뷰점수,수량,리뷰내용_length
johy********,2021-07-02 12:44:00.935000+00:00,휠체어 종류: 기본형 고급휠체어 / 서비스 선택: 택배배송서비스 / 약정: 2개월약정,어머니가 다리를 다치셔서 집에서 사용중인데 잘 쓰고 있습니다.,5,1,34
so****,2021-05-04 18:41:38.797000+00:00,휠체어 종류: 다리받침 각도조절형(오른쪽다리) / 서비스 선택: 택배배송서비스 / 약정: 1개월약정,"아이 다리가 골절되었는데
목발 사용하는것도 힘들어하고 병원다닐때 이동하는것도 쉽지 않고 초4아이를 업고 다니는것도 한계가 있더라고요
그래서 휠체어를 대여해서  2주정도 사용했지만
휠체어 컨디션이 너무 안좋아서 반납하고 
다른 대여 상품을 알아보다가 평이 좋아서 주문했어요
주문시 반깁스하고 있어서 일반헝, 거상형중에 고민했었는데 거상형 주문하길 잘했어요
휠체어 도착날 허벅지까지 통깁스해서 일반형 대여했으면 사용 못했을 거에요
그리고 급하게 주문하는거라 빠른출고 문의글 남겼는데 다행히 바로 출고해주셔서 다음날 받았어요
상품은 발판쪽만 사용 흔적이 있어서 닦았고 몸체는
새상품이라 생각할 정도로 깨끗했어요
동영상 보고 발판 조립하는데 한쪽고리 연결하는곳이 잘 안되서 버벅거린거 말곤 조립도 어렵지 않아요
다리전체 깁스라 집안에서도 사용할 수 있게 하나 더 주문해야 겠어요",5,1,431
ch****,2021-07-14 08:12:17.880000+00:00,휠체어 종류: 기본형 고급휠체어 / 서비스 선택: 택배배송서비스 / 약정: 2개월약정,휠체어가 깨끗하고 튼튼하네요. 2달동안 깨끗하게 잘 사용하고 반납하겠습니다,5,1,41
ch****,2021-07-14 08:11:06.177000+00:00,휠체어 종류: 가벼운 휠체어 / 서비스 선택: 택배배송서비스 / 약정: 2개월 약정,휠췌어가 깨끗하고 가벼워서 좋습니다. 2달동안 깨끗하게 잘 사용하고 반납하겠습니다.,5,1,46
dlgm******,2021-07-14 00:39:13.462000+00:00,휠체어 종류: 가벼운 휠체어 / 서비스 선택: 택배배송서비스 / 약정: 1개월 약정,"한대 잘못온거 수거가 늦어져서 별하나 뺐네요
덕분에 잘썼네요~~",4,1,35
pc****,2021-07-09 00:31:38.888000+00:00,휠체어 종류: 분리형 고급휠체어 / 서비스 선택: 택배배송서비스 / 약정: 1개월약정,두번째 이용합니다 늘 깨끗하게 포장해서 보내주시네요 최고입니다,5,1,34
jinj******,2021-07-11 06:35:37.261000+00:00,휠체어 종류: 다리받침 각도조절형(왼쪽다리) / 서비스 선택: 내찾내반 서비스 / 약정: 1개월약정,깨끗하게  잘 소독되어있고 급하게  찾아갔는데도 이미 꺼내놓으셔서  너무 감사했습니다,5,1,47
ji****,2021-07-28 13:54:32.646000+00:00,휠체어 종류: 보호자형 고급휠체어 / 서비스 선택: 택배배송서비스 / 약정: 1개월,깔끔하게 잘 포장되어 왔어요~ 발이 불편해서 못걸으시는데 휴가철에 잘쓰고 왔어요,5,1,44
ahee****,2021-07-10 00:12:21.697000+00:00,휠체어 종류: 분리형 고급휠체어 / 서비스 선택: 택배배송서비스 / 약정: 1개월약정,문의사항 있을때마다 친절하고 빠른 응대. 2달 잘 사용하였습니다.,5,1,36
woor********,2021-07-02 00:37:53.289000+00:00,휠체어 종류: 기본형 고급휠체어 / 서비스 선택: 택배배송서비스 / 약정: 2개월약정,"진짜 깨끗하게 보내주셨네요 타이어에 비닐도 붙여주시고, 김반찬도 보내주셨네요^^ 깨끗하게 사용하고 반납하겠습니다.",5,1,63
rick****,2021-07-02 01:02:27.903000+00:00,휠체어 종류: 가벼운 휠체어 / 서비스 선택: 택배배송서비스 / 약정: 1개월 약정,엄마가 다리를 다쳐 대여했어요. 깨끗한 제품이 와서 좋아요.,5,1,33
jung****,2021-05-15 02:11:47.727000+00:00,휠체어 종류: 어린이 고급휠체어 / 서비스 선택: 믿음배송 서비스(지역한정) / 약정: 1개월약정,"좋아요.
바퀴까지 테이핑해주어서 보내주시고.
감사히 잘쓰고 깨끗이 반납할께요.
초2여아(키 120, 몸무게 28kg) 어린이 휠체어 잘 맞아요.발바닥 닿는 부분도 어른꺼와 달리 짧으니 아이가 일어서고 앉을때 편안해합니다.",5,1,123
ha****,2021-06-02 08:38:24.213000+00:00,휠체어 종류: 가벼운 휠체어 / 서비스 선택: 내찾내반서비스 / 약정: 2개월 약정,직접 픽업갔었는데 상태 너무좋고 사용법도 친절하게 알려주셨어요 잘 쓰겠습니다,5,1,42
impo*******,2021-05-05 08:16:17.150000+00:00,휠체어 종류: 거상형 왼쪽다리 / 서비스 선택: 택배배송서비스 / 약정: 1개월약정,"다리다친사람한테
최고의 선물입니다..이것없었음  까마득했어요
덕분에  잘사용했습니다.
최고예요 .",5,1,54
dool*****,2021-05-07 07:09:59.785000+00:00,휠체어 종류: 다리받침 각도조절형(왼쪽다리) / 서비스 선택: 택배배송서비스 / 약정: 2개월약정,"상태가 너무 좋아요~ 진짜 새것 같은 상품 
대여해주셔서 감사합니다
그런데 발판 쿠션에 흠집이 있어서 사장님과
오해없게 사진은 남깁니다~^^  잘쓰고 보내겠습니다",5,1,90
ddin****,2021-06-08 10:53:56.475000+00:00,휠체어 종류: 가벼운 휠체어 / 서비스 선택: 택배배송서비스 / 약정: 2개월 약정,이전 사용하던 제품 회수와 새로운 제품 교환 요청했는데  빠르게 조치해주셔서 너무 감사합니다. 새제품 처럼 깨끗해서 더 만족합니대,5,1,72
jalo******,2021-05-07 02:59:47.047000+00:00,휠체어 종류: 다리받침 각도조절형(오른쪽다리) / 서비스 선택: 믿음배송 서비스(지역한정) / 약정: 1개월약정,집안에서만 움직이려서 빌렸는데 이거 없었음 큰일날뻔했어요. 처음에는 새거가와서 우와했는데 자세히보니 사용한 흔적은 있더라고요. 그래도 깔끔하게 와서 너무 좋았어요. 감사합니다.,5,1,98
bree*****,2021-05-28 13:33:29.021000+00:00,휠체어 종류: 고급 분리형 / 서비스 선택: 믿음배송 서비스(지역한정) / 약정: 1개월약정,다리 깁스하고 집에서 사용하려고 대여했어요 편하게 잘 사용했습니다 한달 더 연장했는데 생각보다 깁스를 빨리 풀러 일찍 반납신청 했습니다  그런데 일주일이 지나도록 안가져가시네요...,5,1,101
snfk*****,2021-05-27 00:45:00.491000+00:00,휠체어 종류: 고급 분리형 / 서비스 선택: 택배배송서비스 / 약정: 1개월약정,"한달 빌려서 사용했는데
너무 깨끗하고 안전한휠체어였어요
너무잘사용했고 만족했습니다
감사드립니다^^",5,1,54
seoh*******,2021-05-03 10:15:02.346000+00:00,휠체어 종류: 기본형 고급휠체어 / 서비스 선택: 내찾내반 서비스 / 약정: 1개월약정,1개월 임대인데 새제품을 빌려주셔서 감사히 실내에서만 깨끗하게 잘쓰겠습니다,5,1,41
ifil*******,2021-05-30 12:31:54.539000+00:00,휠체어 종류: 기본형 고급휠체어 / 서비스 선택: 내찾내반 서비스 / 약정: 1개월약정,직접 수령 했는데 빠른 대응으로 빨리 수령했고 휠체어 상태도 좋아요,5,1,37
kys0***,2021-05-16 02:16:47.782000+00:00,휠체어 종류: 고급형 / 서비스 선택: 택배배송서비스 / 약정: 1개월약정,"저렴해서조아요
품질도 좋습니다 적극 추천합니다
번창하세요",5,1,31
sang******,2021-05-11 08:24:30.986000+00:00,휠체어 종류: 보호자형 고급휠체어 / 서비스 선택: 내찾내반서비스 / 약정: 1개월대여,제품 상태도 너무 좋고 무엇보다 비대면으로 방문하여 찾고 반품하는 시스템이 너무 잘되어있습니다. 판매자분도 바로바로 답장해주시고 좋았습니다.,5,1,78
chs7***,2021-05-14 07:14:20.651000+00:00,휠체어 종류: 고급 분리형 / 서비스 선택: 택배배송서비스 / 약정: 1개월약정,한달 동안 사용 해  보니 너무 편리하게 사용 했습니다 고급형이라서 일까 의자 방석부분이나 등 방석이 있어 쿠션감이 있어 앉고 기대는게 편했으며 덥지도 않고 좋았어요,5,1,92
ka****,2021-05-04 04:45:15.055000+00:00,휠체어 종류: 고급 분리형 / 서비스 선택: 택배배송서비스 / 약정: 1개월약정,"판매자님이 너무 친절하시네요~
다음번에도 휠체어대여는 여기서 할꺼에요~
사후 연락도주시고 상품도 한달이용하였는데 깨끗히 세척된거 같고 새거처럼 보이네요~
판매자님 번창하셨으면 좋겠어요~
좋은상품 감사합니다^^",5,1,116
ji99*****,2021-05-28 05:49:58.797000+00:00,휠체어 종류: 분리형 고급휠체어 / 서비스 선택: 택배배송서비스 / 약정: 2개월약정,엄마가 잘 걷지 못해서 사용하면서 야외로 잘 다니고 있어요,5,1,32
namh******,2021-05-09 23:16:44.755000+00:00,휠체어 종류: 경량형 고급휠체어 / 서비스 선택: 택배배송서비스 / 약정: 2개월약정,거의 새 제품으로 빠르게 보내주셨어요. 가볍고 깨끗해서 사용하기 좋을 것 같아요.,5,1,45
zzo_*****,2021-05-07 14:35:11.851000+00:00,휠체어 종류: 다리받침 각도조절형(왼쪽다리) / 서비스 선택: 믿음배송 서비스(지역한정) / 약정: 1개월약정,너무 깨끗하고 튼튼하고 좋아요!! 잘쓰고있어요 감사합니다 ㅎㅎ,5,1,34
jiss******,2021-05-07 11:14:40.512000+00:00,휠체어 종류: 분리형 고급휠체어 / 서비스 선택: 택배배송서비스 / 약정: 1개월약정,"아버지가 갑자기 걷지도 못하셔서 휠체어 대여해서 
모시고 병원에 잘다녀왔네요 감사합니다~
한달잘쓰고 보낼께요~^^",5,1,63
ssun******,2021-05-03 07:50:27.560000+00:00,휠체어 종류: 다리받침 각도조절형(오른쪽다리) / 서비스 선택: 내찾내반 서비스 / 약정: 1개월약정,깨끗한제품. 사장님 친절한 안내 넘 좋아요 편허게 잘쓰고있어요,5,1,34
eunj******,2021-05-09 04:21:02.497000+00:00,휠체어 종류: 고급 기본형 / 서비스 선택: 택배배송서비스 / 약정: 2개월약정,"다리수술하고 집에서 왔다갔다할때쓰고,병원갈때도 잘 쓰고 있습니다.",5,1,36
goba****,2021-02-20 00:26:53.080000+00:00,휠체어 종류: 기본형 휠체어 / 약정: 2개월 약정 할인(믿음배송),"처음에 올때부터도 너무 깨끗해서, 대여용이 아니라 새것처럼 느껴졌어요^ ^
제가 발 뼈가 골절되어 8주간 발을 딛으면 안되는 거라 거의 집콕만해야 했는데,
휠체어 덕분에 너~ ~무 편하게 있을 수 있었습니다.^ ^
이렇게 대여할 수 있다는 것이 처음엔 놀라웠고,
특히 꼭 필요한 사람들한테 구매의 부담없이 활용할 수 있다는 것이 참 효율적, 경제적 아이디어라고 생각합니다.
덕분에 잘 사용하고 건강 회복할 수 있어서 감사합니다. 참고로 저는 실내용과 실외용을 구분하여 두 개를 대여했습니다.^ ^
아프고 다치면 안되겠지만. . 
그래도 어쩔 수 없이 휠체어를 사용해야 한다면 주저하지마시고, 아픈 와중에 조금이라도 편하게 사용하셨으면 좋겠어요~
참고로 휠체어를 차에 실을때, 접는 방법을 몰라 많이 헤맸어요.^ ^ 알고 보니 너무 허탈하리만큼 간단한 거더라구요. ㅎ ㅎ
사진에서 보이는 휠체어 앉는부분, 반으로 갈라진 부분을 양쪽에서 들어올린다는 형식으로 잡아 올리면 휠체어가 반으로 접힌답니다.^ ^
아무튼 감사히 잘 썼습니다.",5,1,520
kulk******,2021-04-23 06:37:34.863000+00:00,휠체어 종류: 경량형 고급휠체어 / 서비스 선택: 믿음배송 서비스(지역한정) / 약정: 1개월약정,아들이 발가락을 다쳐서 깁스를 하게 되었는데 목발에 적응을 정말 못하네요. 어쩔수없이 휠체어를 대여하게 되었어요~ 튼튼하고 깨끗한 휠체어가 와서 대만족입니다.,5,1,88
hjl0***,2021-05-05 13:55:00.679000+00:00,휠체어 종류: 경량형 / 서비스 선택: 택배배송서비스 / 약정: 2개월약정,수거해 주시는 분도 너무 친절 하고 편하게 잘사용 했어요~,5,1,32
gimm****,2021-04-11 04:49:23.611000+00:00,휠체어 종류: 고급 기본형 / 서비스 선택: 택배배송서비스 / 약정: 2개월약정,부모님이 다쳐서 급하게 구하게 됐는데 깨끗하고 좋네요~,4,1,30
wi****,2021-03-26 11:42:01.561000+00:00,휠체어 종류: 거상형 양발 / 서비스 선택: 택배배송서비스 / 약정: 1개월약정,"링거걸이 확실히 알아보고 주문하세요
링거걸이 제공한다길래 (전화로도 확인) 당연히 꽂는 막대기라 생각했고, 메모에 &quot;링겔대&quot;달라고 적었는데 아무것도 안왔습니다. 전화해서 물어보니 링거걸이는 막대기가 아니라 꽂는 도구인것처럼 말하더라구요
아니 상식적으로 꽂이만 빌리는 사람이 어디있습니까. 누가 집에 링거대를 갖고 있냐구요..
링거걸이가 아니라면 링거대 걸이라고 말하던가요
부정확한 안내 덕분에 링겔대는 따로 구해야 하네요
링거대랑 링거걸이가 다르면 메모 확인하고 연락이라도 주던가, 링거걸이만이라도 보내주던가 해야지 아무것도 안보내주면 당장 링겔은 어디다 거나요",3,1,324
ne****,2021-04-15 11:59:45.826000+00:00,휠체어 종류: 고급형 / 서비스 선택: 내찾내반 서비스 / 약정: 2개월약정,직접 찾으러 갔고요 제품도 깨끗하것 주시고 친절하게 잘 해주셨네요 반납할 시기가 도래했네요 반납도 잘 받아주실듯 합니다,4,1,66
li****,2021-03-22 13:03:51.777000+00:00,휠체어 종류: 보호자형휠체어 / 서비스 선택: 택배배송서비스 / 약정: 2개월약정,급했는데 친절하게 상담해주시고 바로 보내주셔서 잘 사용하겠습니다 사용후에는 더욱더 만족하여 별다섯이 되리라 믿고 기대합니다,4,1,68
ddin****,2021-04-10 04:00:11.105000+00:00,휠체어 종류: 거상형 왼쪽다리 / 서비스 선택: 택배배송서비스 / 약정: 2개월약정,박스는 정말 깜짝 놀랄 정도로 허름하였습니다 ㅠㅠ 반송시 패킹이 살짝 걱정됩니다^^   딱딱한 이사박스 같은걸로 하시면 더 좋을듯 합니다 ^^ 휠체어는 이상없이 만족합니다,4,1,95
kims*****,2021-03-29 17:18:08.638000+00:00,휠체어 종류: 기본형 / 서비스 선택: 택배배송서비스 / 약정: 2개월약정,"한달동안 너무 잘쓰고 있어요
깔끔하고 가볍고 브레이크도 기능도 잘 되고 아주 좋습니다",5,1,47
myme****,2021-04-02 15:46:34.684000+00:00,휠체어 종류: 고급 기본형 / 서비스 선택: 택배배송서비스 / 약정: 연장대여결제,두달넘게 사용하고있는데 일단 상태가 너무 좋고 튼튼합니다 !.!. 매번 요청사항 잘 들어주시고 친절하시고 감사합니다,5,1,64
danj****,2021-03-19 07:27:47.117000+00:00,휠체어 종류: 고급 분리형 / 서비스 선택: 택배배송서비스 / 약정: 1개월약정,누가봐도 중고제품 같은 제품인데 잘굴러가요 깔끔한 상태로 오긴했는데 박스가 너무 커서 병원에 보관할 때가 없어 곤란하네요,3,1,67
bree*****,2021-04-11 05:03:27+00:00,휠체어 종류: 고급 분리형 / 서비스 선택: 믿음배송 서비스(지역한정) / 약정: 1개월약정,다리 깁스를 하게되어 급하게 대여했어요 생활이 훨씬 편해져서 좋아요,5,1,37
anai****,2021-04-13 14:22:01.669000+00:00,휠체어 종류: 기본형 / 서비스 선택: 택배배송서비스 / 약정: 2개월약정,제품상태가 매우 깨끗하고 꼼꼼히 포장되어 와서 만족스러웠어요.,5,1,34
maso****,2021-02-09 08:08:37.489000+00:00,휠체어 종류: 경량형 / 서비스 선택: 택배배송서비스 / 약정: 1개월약정,"아이가 골반에 지방괴사가 되어서 한동안 서기, 걷기를 못하게 되었어요. 건강한아이라면 목발을 해주었겠지만, 항암으로 항상기운이 없는 8세 여아라 고민끝에 휠체어 대여했네요. 
알아볼때 소독과정을 제일 눈여겨보았고, 아이가 사용하기 쉬운 초경량, 경량으로 알아보았어요. 
그래서 문의드렸는데 빠르게 답변주셨고 후기들도 좋아서 일단 1개월 대여했어요. 잘 사용해볼게요.
감사합니다. 새해 복 많이 받으시고 번창하세요♡",5,1,231
jwhw****,2021-03-04 12:21:08.386000+00:00,휠체어 종류: 기본형 휠체어 / 약정: 2개월 약정 할인(믿음배송),"예상보다 훨씬 깨끗한 제품을 주문한 당일에 보내주셔서 편리하게 사용하고 있습니다.
다리 다쳐 거동이 불편한데 큰 도움이 되고 있습니다.
강추입니다!!",5,1,83
kait*****,2021-03-09 01:33:13.209000+00:00,휠체어 종류: 거상형(오른쪽다리) / 약정: 2개월 약정 할인(택배배송),"우선 깨끗한 제품이라 쓰는 내내 기분 좋았구요, 내구성도 좋아 고장 없이 잘 썼습니다. 약간의 무게감을 느낄 수도 있지만 너무 가벼우면 오히려 불안할 거 같아요. 좋은 제품을 대여해서 다친 아이와 함께 바깥 외출두 자주 하고 너무나 감사드립니다. ^^",5,1,140
rlat********,2021-03-07 16:25:09.848000+00:00,휠체어 종류: 거상형 왼쪽다리 / 서비스 선택: 택배배송서비스 / 약정: 1개월약정,대여가 된다는게 너무 좋아요 덕분에 갑갑할때 한번씩 휠체어 태우고 마실나와요 ㅎㅎ,5,1,45
ksm0***,2021-03-23 23:32:34.091000+00:00,휠체어 종류: 기본형 휠체어 / 약정: 2개월(내찾내반),사장님이 너무 친절하셔서 한달더 연장하려구요 저렴하게 렌탈잘쓰고있어여,5,1,38
kims*****,2021-02-27 03:13:30.231000+00:00,휠체어 종류: 기본형 / 서비스 선택: 택배배송서비스 / 약정: 2개월약정,다리골절수술후 집안에서 사용할려구 급하게 알아보던중... 대여했는데 가격도 저렴하고 제품도 깨끗해서 만족합니다.. 사업번창하세요~~^^,5,1,75
gold*****,2021-03-11 01:20:43.266000+00:00,휠체어 종류: 기본형 휠체어 / 약정: 2개월 약정 할인(믿음배송),"소독철저히 했고 , 새것 같이 깨끗했음니다,  직접 집으로  신속배달, 수거까지 하시고요,  2개월 아무이상없이 기분좋게 사용했읍니다,  매우매우 만족 합니다",5,1,88
sn****,2021-03-26 12:59:02.009000+00:00,휠체어 종류: 거상형 양발 / 서비스 선택: 택배배송서비스 / 약정: 2개월약정,"새것처럼 깨끗하고 병원으로 배달요청 했는데
바로 갔다주시고 서비스좋고 ..",5,1,41
mode*****,2021-02-24 02:15:23.312000+00:00,휠체어 종류: 고급형 / 서비스 선택: 택배배송서비스 / 약정: 1개월약정,저렴한가격에 너무 좋은휠체어를 대여할수있어서 좋아요^^ 다리수술해서 집에서 기어다녔는데 이제 집에서 편하게 다닐수있게됐어요~♡,5,1,70
skyr*******,2021-02-19 03:23:50.103000+00:00,휠체어 종류: 기본형 휠체어 / 약정: 2개월 약정 할인(택배배송),양발깁스후 집에서 탈 휠체어로 대여 했습니다.지금도 앉아서 아주 잘타고 있습니다.깨끗하고 좋아요^^한달연장  했습니다.,5,1,66
ddal*****,2021-03-12 00:47:56.371000+00:00,휠체어 종류: 거상형 오른쪽다리 / 서비스 선택: 내찾내반 서비스 / 약정: 1개월약정,"깨끗하고 좋아요. 
급해서 내찾내반으로 주문했는데 답변도 바로주시고 친절하십니다",5,1,44
kmj7***,2021-03-23 23:51:34.114000+00:00,휠체어 종류: 기본형 / 서비스 선택: 택배배송서비스 / 약정: 2개월약정,거의 새거인 듯하고 아주 깨끗하게 보내주셔서 만족합니다 ㅎㅎ,5,1,33
ysyo*****,2021-03-03 03:38:53.860000+00:00,휠체어 종류: 거상형 왼쪽다리 / 서비스 선택: 택배배송서비스 / 약정: 1개월약정,"새제품처럼 반짝반짝 깨끗한 제품으로 보내주셨어요
힘들이지 않고도 잘 밀리고 의자에도 쿠션이 있어 오래 앉아도 무리가 없을것 같습니다
고맙게 잘 쓰다 반납할게요",5,1,88
glan******,2021-03-01 04:59:43.687000+00:00,휠체어 종류: 거상형 왼쪽다리 / 서비스 선택: 택배배송서비스 / 약정: 1개월약정,"새상품이 왔습니다  중족골 골절 수술후라
목발을 사용하면 온몸이 틀어지는거 같아서
대여했습니다 물건이 깨끗해서 좋구요
사이즈도 큰편이라 편하게 잘쓰고 있습니다",5,1,88
bh79****,2021-02-14 11:44:31.011000+00:00,휠체어 종류: 기본형 / 서비스 선택: 믿음배송 서비스 / 약정: 2개월약정,새상품같이 깨끗하고 좋아요 깨끗이 쓰고돌려드릴께요~ 수고하세요~^^,5,1,37
rs****,2021-01-19 09:31:39.437000+00:00,휠체어 종류: 기본형 휠체어 / 약정: 1개월(내찾내반),너무 깨끗하게 관리가 잘 되어 있어서 너부 좋습니다.  신경써서 관리를 하고 있는 것 같아 안심하고 쓸 수 있을 것 같습니다.  잘 쓰겠습니다.,5,1,80
duri****,2021-02-23 05:29:50.273000+00:00,휠체어 종류: 기본형 / 서비스 선택: 택배배송서비스 / 약정: 2개월약정,발판이 헐렁거리네요 올려도 자꾸 내려와서 굉장히 불편하고 타기전에 걸리적 거려서 불안합니다.,3,1,51
ksm0***,2021-01-27 23:59:05.886000+00:00,휠체어 종류: 기본형 휠체어 / 약정: 2개월(내찾내반),정말 친절하며 많은 배려까지 해주셔서 주변에 필요하신분있으시면 적극홍보해드리고싶어요ㅜ감사합니다,5,1,52
jwhw****,2021-01-28 08:09:48.933000+00:00,휠체어 종류: 기본형 휠체어 / 약정: 2개월 약정 할인(믿음배송),"어제 밤에 주문했는데 오늘 가져다 주셨어요!!
자체적으로 운영하시는 전용차량으로요..
편리하게 잘 사용하셌습니다.
건승하세요^^",5,1,71
rs****,2021-02-16 11:37:01.148000+00:00,휠체어 종류: 기본형 / 서비스 선택: 내찾내반 서비스 / 약정: 1개월약정,깨끗하게 관리 잘 되어 있어서 사용기간 연장하였습니다.  필요하신분  적극 추천합니다.,5,1,48
didd****,2021-02-11 01:28:20.925000+00:00,휠체어 종류: 고급형 / 서비스 선택: 택배배송서비스 / 약정: 1개월약정,"사용하기 정말 좋아요~
깨끗하게 소독 후 보내주셨다니 믿음이 가고
앉아계신분도 편안하게 계시고..
여러모로 대여하길 잘 했다는 생각이 들어요~
미역도 보내주셨던데 감사해요 건승하세요!",5,1,102
jini***,2021-02-16 00:32:51.892000+00:00,휠체어 종류: 기본형 휠체어 / 약정: 2개월 약정 할인(택배배송),대퇴부 골절로 퇴원하신 엄마가 사용중입니다. 휠체어 튼튼하고 실내 실외 사용으로 아주 좋습니다. 감사합니다.,5,1,60
cmzn******,2021-01-16 12:42:07.565000+00:00,휠체어 종류: 기본형 휠체어 / 약정: 2개월 약정 할인(택배배송),고관절수술환자인데 ..병원꺼만 해도 괜찮다 생각했는데 튼튼하고 좋아요 ~~ 너무 커서 오히려 .. ㅎㅎ 계단이 많은 집이라 ..감수해야할 불편이 있지만.. 이번에 응급실도 가고 ㅜ 병원 외래본다고 유용하게 사용했어요,5,1,120
suna***,2021-02-10 05:19:03.175000+00:00,휠체어 종류: 경량형 / 서비스 선택: 택배배송서비스 / 약정: 1개월약정,"대여 상품이라 조금 걱정했었는데 깨끗한 상품으로 잘 왔네요.  사은품으로 미역도 주시고..넘 감사해요~^^
잘 사용하겠습니다",5,1,69
bmt1***,2020-12-23 14:11:37.643000+00:00,휠체어 종류: 거상형(오른쪽다리) / 약정: 1개월(택배배송),"상품 수령은 주문한지 하루만에 도착했으나 퇴원이 늦어져 오늘에야 실물을 확인했어요. 제품 상태가 너무 깔끔하고 먼지하나 없어서 너무 안심되었고, 제품 조립해보니 짱짱하고 좋습니다. 병원에서 쓰던 휠체어보다 사이즈가 아담해서 차에 넣을때에도 공간을 많이 차지하지 않아서 좋아요 특히 바퀴에 보호 비닐이 붙어있어 더욱 신뢰가 갑니다. 꼭 여기서 주문하세요.",5,1,197
kspa******,2021-02-09 15:27:06.051000+00:00,휠체어 종류: 거상형(오른쪽다리) / 약정: 2개월 약정 할인(택배배송),"대여라서 기대 안하고 주문했는데
넘 깨끗한 휠체어가 왔네요 
적극 추천입니다~^^",5,1,45
bigp******,2021-01-24 14:54:54.613000+00:00,휠체어 종류: 기본형 휠체어 / 약정: 2개월 약정 할인(택배배송),"휠체어가 정말 깨끗하게 정비되어 왔네요
집앞까지 편하게 받아볼 수도 있어서 정말 좋구요 감사합니다!",5,1,55
me****,2021-01-24 11:24:57.961000+00:00,휠체어 종류: 기본형 휠체어 / 약정: 1개월(내찾내반),접는 방식이 좀 달라 헷갈렸으나 제품 깨끗하고 문제없네요^^,5,1,33
cjd0***,2021-02-02 00:09:20.476000+00:00,휠체어 종류: 거상형(오른쪽다리) / 약정: 1개월(택배배송),한달동안 너무 편안하게 잘 사용했습니다 튼튼하고 이동시에도 트렁크에 쏙 들어갑니다 감사합니다,5,1,51
cirr****,2021-01-25 12:38:04.140000+00:00,휠체어 종류: 고급형 휠체어 / 약정: 2개월 약정 할인(믿음배송),주문하고 다음 날 바로 받을 수 있어 좋았어요. 배달도 안전하게 잘 왔어요 대만족입니다,5,1,48
bkh2***,2021-02-17 12:18:30.508000+00:00,휠체어 종류: 거상형 왼쪽다리 / 서비스 선택: 믿음배송 서비스 / 약정: 1개월약정,좋네요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋네요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋네요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요,5,1,551
mart******,2021-01-06 04:06:45.779000+00:00,휠체어 종류: 고급형 휠체어 / 약정: 1개월(택배배송),"감사합니다. 저렴한 가격에 사지않고 빌려쓸 수 있어 좋네요. 친정엄마도 렌트하셨었는데 그것보다는 덜 육중해서 환자인 남편이 필히 외출해야할 때 제가 혼자 다루기 좀 나을듯 합니다.  아주 가벼운 무게는 아니지만, 딱 좋은 기본사양에 손잡이에 브레이크가 있어  좋네요.  잘 쓰겠습니다",5,1,158
cute****,2020-12-26 04:55:24.012000+00:00,휠체어 종류: 거상형(오른쪽다리) / 약정: 2개월 약정 할인(택배배송),"휠체어 상태가 너무 깨끗해서 놀랐구요
새것같아서 부담스러움? ㅎㅎㅎ
다리수술 후 목발생활이 힘들어서 대여했는데 오늘 병원진료있어서 휠체어타고 다녀왔는데 넘 편했어요 좋은제품을 대여할 수 있어서 넘 좋았습니다. 번창하세요",5,1,122
jh12***,2020-12-03 07:20:57.702000+00:00,휠체어 종류: 기본형 휠체어 / 약정: 30일(믿음배송),"^^너무너무 잘받았어요
일찍 등록 한다는게 사진을 못찍어서 늦어 졌어요
다리 수술해서 문앞나가기도 힘드네요ㅠㅠ
집에만 있어서 우울증 올거 같았는데 정말 잘쓰겠습니다
저희 신랑이 바퀴 엄청 잘 굴러간다고
병원꺼랑은 비교가 안된다며 

한달두달 정도 쓰실분들 
사는거는 부담 스러운 분들에게 
완전 딱 입니다
휠체어 사서 둘곳도 없고 다시 중고로 팔기도 어렵고


전한달 정도만 고생하면 될거 같아서 잘쓰고
돌려드릴께요^^
감사합니다",5,1,240
